order,id,title,release_date,budget,revenue,runtime,vote_average,popularity
1.0,1726,Iron Man,2008-04-30,140000000,585174222,126,7.663,45.6442
2.0,1724,The Incredible Hulk,2008-06-12,150000000,264770996,114,6.251,36.568
3.0,10138,Iron Man 2,2010-04-28,200000000,623933331,124,6.855,35.6061
4.0,10195,Thor,2011-04-21,150000000,449326618,115,6.771,28.7408
5.0,1771,Captain America: The First Avenger,2011-07-22,140000000,370569774,124,7.009,20.299
6.0,24428,The Avengers,2012-04-25,220000000,1518815515,143,8.065,77.9225
7.0,68721,Iron Man 3,2013-04-18,200000000,1215577205,130,6.933,30.1153
8.0,76338,Thor: The Dark World,2013-10-30,170000000,644783140,112,6.512,32.2597
9.0,100402,Captain America: The Winter Soldier,2014-03-20,170000000,714766572,136,7.655,18.3915
10.0,118340,Guardians of the Galaxy,2014-07-30,170000000,772776600,121,7.907,16.0124
11.0,99861,Avengers: Age of Ultron,2015-04-22,235000000,1405403694,141,7.276,51.0494
12.0,102899,Ant-Man,2015-07-14,130000000,519311965,117,7.066,27.4631
13.0,271110,Captain America: Civil War,2016-04-27,250000000,1155046416,147,7.45,59.0485
14.0,284052,Doctor Strange,2016-10-25,180000000,676343174,115,7.424,34.9062
15.0,283995,Guardians of the Galaxy Vol. 2,2017-04-25,200000000,863756051,137,7.61,31.4567
16.0,315635,Spider-Man: Homecoming,2017-07-05,175000000,880978185,133,7.332,220.5926
17.0,284053,Thor: Ragnarok,2017-10-02,180000000,855301806,131,7.582,38.7068
18.0,284054,Black Panther,2018-02-13,200000000,1349926083,135,7.364,33.0515
19.0,299536,Avengers: Infinity War,2018-04-25,300000000,2052415039,149,8.24,92.0275
,363088,Ant-Man and the Wasp,2018-07-04,140000000,622674139,119,6.898,22.7525
21.0,299537,Captain Marvel,2019-03-06,152000000,1131416446,124,6.776,29.316
22.0,299534,Avengers: Endgame,2019-04-24,356000000,2799439100,181,8.239,65.1992
23.0,429617,Spider-Man: Far From Home,2019-06-28,160000000,1132723226,129,7.394,114.0319
24.0,497698,Black Widow,2021-07-07,200000000,379751131,134,7.159,32.8903
25.0,566525,Shang-Chi and the Legend of the Ten Rings,2021-09-01,150000000,432243292,132,7.488,22.7165
26.0,524434,Eternals,2021-11-03,200000000,402064899,156,6.761,17.9548
27.0,634649,Spider-Man: No Way Home,2021-12-15,200000000,1921426073,148,7.938,643.3186
28.0,453395,Doctor Strange in the Multiverse of Madness,2022-05-04,295400000,955775804,126,7.23,43.722
29.0,616037,Thor: Love and Thunder,2022-07-06,250000000,760928081,119,6.362,27.2821
30.0,505642,Black Panther: Wakanda Forever,2022-11-09,250000000,859102154,162,7.001,29.6731
31.0,640146,Ant-Man and the Wasp: Quantumania,2023-02-15,200000000,476071180,125,6.2,18.0955
32.0,447365,Guardians of the Galaxy Vol. 3,2023-05-03,250000000,845550000,150,7.932,37.1529
33.0,609681,The Marvels,2023-11-08,274800000,206136825,105,5.927,21.8757
,533535,Deadpool & Wolverine,2024-07-24,200000000,1338073645,128,7.6,53.3976
35.0,822119,Captain America: Brave New World,2025-02-12,180000000,415101577,119,5.953,73.7258
36.0,986056,Thunderbolts*,2025-04-30,180000000,382436917,127,7.3,49.3766
37.0,617126,The Fantastic 4: First Steps,2025-07-23,200000000,521858728,115,6.945,51.4865
38.0,969681,Spider-Man: Brand New Day,2026-07-29,225000000,1665089000,145,7.9,1146.6141
